Sample Unnamed: 0_level_1	Sequenced_Read-pair Unnamed: 1_level_1	Mapped_Read-pair Count	Mapped_Read-pair Percentage	Nonclonal_Read-pair Count	Nonclonal_Read-pair Percentage	cis<1kb Count	cis<1kb Percentage	cis>1kb Count	cis>1kb Percentage	trans Count	trans Percentage	mCCC/CCC Unnamed: 12_level_1	mCG/CG Unnamed: 13_level_1	mCH/CH Unnamed: 14_level_1	Estimated mCG/CG Unnamed: 15_level_1	id	batch	cell_type
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD001	1350583	762516	0.5645828505171471	639979	0.8392991097891717	555571	0.8681	49002	0.0766	35406	0.0553	0.01613	0.80581	0.05224	0.80263	181218_21yr_2_B6_AD001	181218_21yr	Sst
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD002	1444406	818266	0.5665069239535144	687347	0.8400043506634762	584366	0.8502	62841	0.0914	40140	0.0584	0.01613	0.76145	0.02046	0.75754	181218_21yr_2_B6_AD002	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD004	1014920	588483	0.5798319079336303	491563	0.8353053529158871	428809	0.8723	38255	0.0778	24499	0.0498	0.02428	0.8297	0.08353	0.82546	181218_21yr_2_B6_AD004	181218_21yr	Sst
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD006	2041983	1149959	0.5631579694835853	965872	0.8399186405776206	778853	0.8064	110179	0.1141	76840	0.0796	0.01935	0.78053	0.03043	0.7762	181218_21yr_2_B6_AD006	181218_21yr	Astro
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD007	1416970	780288	0.5506736204718519	653975	0.8381200274770341	523523	0.8005	82083	0.1255	48369	0.074	0.0097	0.77523	0.01762	0.77303	181218_21yr_2_B6_AD007	181218_21yr	Astro
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B6_AD012	1551540	888878	0.5729004730783609	741845	0.8345858486766463	638714	0.861	66954	0.0903	36177	0.0488	0.01568	0.78687	0.05486	0.78347	181218_21yr_2_B6_AD012	181218_21yr	L4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD001	800752	451421	0.5637463284512558	400039	0.8861772048708412	340440	0.851	37734	0.0943	21865	0.0547	0.01488	0.77993	0.05126	0.77661	181218_21yr_2_B7_AD001	181218_21yr	L4
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD002	900775	501845	0.5571258083317143	444285	0.8853032310773247	368696	0.8299	53855	0.1212	21734	0.0489	0.02089	0.76109	0.05757	0.75599	181218_21yr_2_B7_AD002	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD004	1167805	648717	0.5555011324664648	574378	0.885406116997088	465611	0.8106	69326	0.1207	39441	0.0687	0.00981	0.77004	0.01318	0.76776	181218_21yr_2_B7_AD004	181218_21yr	ODC
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD006	1112303	620542	0.5578893520920108	549883	0.8861334124039952	457230	0.8315	63551	0.1156	29102	0.0529	0.01629	0.78541	0.05684	0.78186	181218_21yr_2_B7_AD006	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD007	1026665	570481	0.5556642137406067	503454	0.8825079187562775	421678	0.8376	56439	0.1121	25337	0.0503	0.01607	0.74206	0.05008	0.73785	181218_21yr_2_B7_AD007	181218_21yr	L23
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD008	713493	392414	0.5499899788785594	346400	0.8827411866039437	288922	0.8341	39216	0.1132	18262	0.0527	0.02038	0.7931	0.06763	0.7888	181218_21yr_2_B7_AD008	181218_21yr	L5
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B7_AD010	1105832	640061	0.5788049179260503	565376	0.8833158089619583	492728	0.8715	40028	0.0708	32620	0.0577	0.00764	0.74086	0.00812	0.73886	181218_21yr_2_B7_AD010	181218_21yr	MG
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD001	1719056	792005	0.46072088402006683	650698	0.821583197075776	562915	0.8651	52532	0.0807	35251	0.0542	0.02472	0.81268	0.08682	0.80793	181218_21yr_2_B8_AD001	181218_21yr	Sst
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_B8_AD002	1590079	894836	0.5627619759772942	732820	0.8189433594535759	601539	0.8209	84307	0.115	46974	0.0641	0.01422	0.81022	0.05499	0.80748	181218_21yr_2_B8_AD002	181218_21yr	Sst
